7 - Existence of law on gender statistics

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Law/Act with gender clause,Topic under the law,Gender Clause
Existence of law on gender statistics,Caucasus and Central Asia,51,Armenia,Status,Statistics Law reviewed  gender clause detected,Law/act with gender clause: Law on State Statistics of the Republic of Armenia,Topic under the law: Components of administrative registers,Gender clauses:  Article 13. Statistical and Information (Administrative) Register  Body implementing the state statistics carries out the statistical internal registers of statistical information providers  which will ensure the accounting of accumulated on it information and unique identification of indicators.  The system of accounting and unique identification operates for the whole period of operation of the given register. Service creates and maintains business (entrepreneurial) register.  The creation and maintenance of the business-register are implemented on the basis of the state register of legal units. The Business-register is liable to regular update data base of registered in the Republic of Armenia legal units on their real place of location  main and not main types of activity  number of employees and additional other indicators established by the Council.  State bodies and local self-government  including the Central Bank (hereinafter referred to as bodies implementing administrative statistics)  implements branchial (departmental) and local (municipal) accounting (statistics) through the maintenance of administrative registers. Administrative registers shall include at least the following components:  a) the necessary indicators included into Program and presented to the Service by the statistical information providers  b) the maintenance of the passports of communities  that includes the system of accumulated on a regular basis and kept indicators on population number  sex-age and social composition  cultural  educational and sport complexes (constructions) situated in the community  health  housing communal economy  production infrastructure  budget of the community and other necessary information.  The completeness of the information (data) collected through state statistical and administrative observations composes the unique system of the state statistical information of the Republic of Armenia.  The methodology and forms of documentation of the administrative information collection foreseen by the Program are established by the Council.
Existence of law on gender statistics,Caucasus and Central Asia,268,Georgia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Caucasus and Central Asia,398,Kazakhstan,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Caucasus and Central Asia,417,Kyrgyzstan,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Caucasus and Central Asia,762,Tajikistan,Status,No information,-,-,-
Existence of law on gender statistics,Caucasus and Central Asia,795,Turkmenistan,Status,No information,-,-,-
Existence of law on gender statistics,Caucasus and Central Asia,860,Uzbekistan,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,48,Bahrain,Status,Statistics Law reviewed  gender clause detected,Law/act with gender clause: Legislative Decree Statistics and the Census,Topic under the law: Individual Data collection component,Gender clauses:  Article 1 - Individual Data: The characteristics which distinguish each individual such as name  address  place and date of birth  sex  religion  nationality  marital status and scientific & professional qualification  and occupation and also include civil events for the individual such as birth  marriage  divorce  change of nationality and death Minister: The Minister of the Ministry of Cabinet Affairs
Existence of law on gender statistics,Western Asia,275,State of Palestine,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,368,Iraq,Status,No information,-,-,-
Existence of law on gender statistics,Western Asia,400,Jordan,Status,No information,-,-,-
Existence of law on gender statistics,Western Asia,414,Kuwait,Status,No information,-,-,-
Existence of law on gender statistics,Western Asia,422,Lebanon,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,512,Oman,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,634,Qatar,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,682,Saudi Arabia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,760,Syrian Arab Republic,Status,No information,-,-,-
Existence of law on gender statistics,Western Asia,792,Turkey,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Western Asia,887,Yemen,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,96,Brunei Darussalam,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,104,Myanmar,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,116,Cambodia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,360,Indonesia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,418,Lao People's Democratic Republic,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,458,Malaysia,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,608,Philippines,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,626,Timor-Leste,Status,No information,-,-,-
Existence of law on gender statistics,South-eastern Asia,702,Singapore,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,South-eastern Asia,704,Viet Nam,Status,No information,-,-,-
Existence of law on gender statistics,South-eastern Asia,764,Thailand,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Eastern Asia,156,China,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Eastern Asia,344,China  Hong Kong Special Administrative Region,Status,Statistics Law reviewed  gender clause detected,Law/act with gender clause: Census and Statistics Ordinances,Topic under the law: Census and Statistics (Quarterly Survey of Industrial Production) Order,Gender clauses:  PARTICULARS REQUIRED TO BE GIVEN IN RESPECT OF INDUSTRIAL UNDERTAKINGS (1) Particulars of the industrial undertaking. (2) Number and sex of persons engaged  by type. (3) Number of working days  shifts and hours worked  by type. (4) Description  value  quantity and price of goods or industrial services produced or sold  by type. (5) Value of stocks by type  at the beginning and end of survey period.                                                                                                                                                        PARTICULARS REQUIRED TO BE GIVEN IN RESPECT OF BUSINESS UNDERTAKINGS Name  address  number of persons engaged and nature of business in respect of each establishment submitting a combined return; Business registration number; Date on which the establishment commenced business; Type of ownership; Nature of business; Number and sex of persons engaged; Number of persons engaged working outside Hong Kong by sex;  Number of vacancies; Reasons for significant changes in the number of persons engaged and vacancies; Characteristics of vacancies; Information to facilitate contact with the person required to give information under paragraph 5 including his name  telephone number and fax number.                                                                                                              Census to be taken - PARTICULARS REQUIRED TO BE GIVEN A. Persons: Year and month of birth  Sex  Relationship to head of household  Whether a usual member of the household  Whereabouts at census reference moment  Marital status  School attendance  Educational attainment  Place of study  Field of education  Usual language  Ability to speak other languages/dialects  Place of birth  Nationality  Duration of residence in Hong Kong  Duration of residence in present district  Previous district of residence  District of residence 5 years ago  Activity status  Industry  Occupation  Place of work  Earnings from main employment  Whether having secondary employment  Earnings from other employment  Other cash income
Existence of law on gender statistics,Eastern Asia,410,Republic of Korea,Status,Statistics Law reviewed  gender clause detected,Law/act with gender clause: Statistics Act,Topic under the law: I) Designation and Management of Staff in Charge of Statistics                                                                                            II) Approval for Collection of Statistics,Gender clauses:  I: (1) The heads of statistics collecting agencies shall designate and manage a staff member in charge of statistics from among the staff under their control  and have him/her administer overall business in the following subparagraphs concerning the collection  dissemination and use of statistics under jurisdiction. In such case  the scope of a person subject to designation shall be prescribed by Presidential Decree: <Amended by Act No. 10196  Mar. 31  2010> 3. Business concerning the collection and distribution of gender statistics classified by gender  if natural persons are included in statistics;                                                                                                                                                                                                                                                                                                II: (1) In cases where the head of a statistics collecting agency intends to collect new statistics  he/she shall obtain prior approval of the Commissioner of the Korea National Statistical Office on the matters prescribed by Presidential Decree  such as name  kind  purposes  subject matters of survey  methodology of survey  gender distinction in the matters of survey  etc. The same shall apply in cases where he/she intends to change the approved matters or to suspend the collection of statistics that have been approved.
Existence of law on gender statistics,Eastern Asia,446,China  Macao Special Administrative Region,Status,Statistics Law reviewed  no gender clause detected,-,-,-
Existence of law on gender statistics,Eastern Asia,496,Mongolia,Status,Statistics Law reviewed  gender clause detected,Law/act with gender clause: Law on Statistics,Topic under the law: Official statistical indicators and the basis for their production,Gender clauses:  Official statistical information includes the following indicators: "...population and social statistics: total population  its age and sex structure…";  "legal statistics: a) number of crimes  by type; b) number of criminal offenders  by age and sex…" 
