11 - Legal minimum age at marriage  by sex

Indicator Name,Region,Country Code,Country,Sex,Measure Name,Measure Value,Actual Data,Footnote1,Footnote2
Legal minimum age at marriage  by sex,Developed regions,470,Malta,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,470,Malta,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,470,Malta,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,492,Monaco,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Developed regions,492,Monaco,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,492,Monaco,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Developed regions,492,Monaco,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,498,Republic of Moldova,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,498,Republic of Moldova,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Developed regions,498,Republic of Moldova,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,498,Republic of Moldova,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Developed regions,499,Montenegro,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,499,Montenegro,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,499,Montenegro,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,499,Montenegro,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,528,Netherlands,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,528,Netherlands,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,528,Netherlands,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,528,Netherlands,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,554,New Zealand,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,554,New Zealand,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,554,New Zealand,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,554,New Zealand,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,578,Norway,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,578,Norway,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,578,Norway,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,578,Norway,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,616,Poland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Females can marry at the age of 16 or 17 years with parental and court consent.,0
Legal minimum age at marriage  by sex,Developed regions,616,Poland,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,Females can marry at the age of 16 or 17 years with parental and court consent.,Data not available
Legal minimum age at marriage  by sex,Developed regions,616,Poland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Females can marry at the age of 16 or 17 years with parental and court consent.,0
Legal minimum age at marriage  by sex,Developed regions,616,Poland,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,Females can marry at the age of 16 or 17 years with parental and court consent.,Data not available
Legal minimum age at marriage  by sex,Developed regions,620,Portugal,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,620,Portugal,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,620,Portugal,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,620,Portugal,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,642,Romania,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,642,Romania,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,642,Romania,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,642,Romania,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,643,Russian Federation,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,643,Russian Federation,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,643,Russian Federation,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,643,Russian Federation,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,674,San Marino,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,674,San Marino,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,674,San Marino,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,674,San Marino,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,688,Serbia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,688,Serbia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,688,Serbia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,688,Serbia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,703,Slovakia,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,16,A marriage cannot be entered into by a minor. The court may exceptionally and for important reasons approve of entrance into marriage by a minor older than sixteen years. Without this approval  the marriage is invalid and the court shall declare the invalidity even without a petition.,0
Legal minimum age at marriage  by sex,Developed regions,703,Slovakia,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,A marriage cannot be entered into by a minor. The court may exceptionally and for important reasons approve of entrance into marriage by a minor older than sixteen years. Without this approval  the marriage is invalid and the court shall declare the invalidity even without a petition.,Data not available
Legal minimum age at marriage  by sex,Developed regions,703,Slovakia,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,16,A marriage cannot be entered into by a minor. The court may exceptionally and for important reasons approve of entrance into marriage by a minor older than sixteen years. Without this approval  the marriage is invalid and the court shall declare the invalidity even without a petition.,0
Legal minimum age at marriage  by sex,Developed regions,703,Slovakia,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,A marriage cannot be entered into by a minor. The court may exceptionally and for important reasons approve of entrance into marriage by a minor older than sixteen years. Without this approval  the marriage is invalid and the court shall declare the invalidity even without a petition.,Data not available
Legal minimum age at marriage  by sex,Developed regions,705,Slovenia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,705,Slovenia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,705,Slovenia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,705,Slovenia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,724,Spain,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,724,Spain,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,14,0,0
Legal minimum age at marriage  by sex,Developed regions,724,Spain,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,724,Spain,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,14,0,0
Legal minimum age at marriage  by sex,Developed regions,752,Sweden,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,With parental consent  no limit but authorities must approve; without parental consent  18 years of age for Swedish citizens.,0
Legal minimum age at marriage  by sex,Developed regions,752,Sweden,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,With parental consent  no limit but authorities must approve; without parental consent  18 years of age for Swedish citizens.,Data not available
Legal minimum age at marriage  by sex,Developed regions,752,Sweden,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,With parental consent  no limit but authorities must approve; without parental consent  18 years of age for Swedish citizens.,0
Legal minimum age at marriage  by sex,Developed regions,752,Sweden,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,With parental consent  no limit but authorities must approve; without parental consent  18 years of age for Swedish citizens.,Data not available
Legal minimum age at marriage  by sex,Developed regions,756,Switzerland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,756,Switzerland,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,756,Switzerland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,756,Switzerland,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,804,Ukraine,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,17,0,0
Legal minimum age at marriage  by sex,Developed regions,804,Ukraine,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,804,Ukraine,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,804,Ukraine,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,807,The former Yugoslav Republic of Macedonia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,807,The former Yugoslav Republic of Macedonia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,807,The former Yugoslav Republic of Macedonia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,807,The former Yugoslav Republic of Macedonia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,832,Jersey,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,832,Jersey,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,832,Jersey,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,832,Jersey,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,833,Isle of Man,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,833,Isle of Man,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,833,Isle of Man,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,833,Isle of Man,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,840,United States of America,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,The legal minimum age for marriage varies by State.
Legal minimum age at marriage  by sex,Developed regions,840,United States of America,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,13,0,0
Legal minimum age at marriage  by sex,Developed regions,840,United States of America,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,840,United States of America,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,14,0,0
Legal minimum age at marriage  by sex,Northern Africa,12,Algeria,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,19,0,0
Legal minimum age at marriage  by sex,Northern Africa,12,Algeria,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Northern Africa,12,Algeria,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,19,0,0
Legal minimum age at marriage  by sex,Northern Africa,12,Algeria,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Northern Africa,434,Libya,Female,Minimum age for legal marriage - Without parental consent,No fixed data,0,According to the Islamic law  marriage requires parental consent. Consent of the bride herself  as well as the guardian's consent are fundamental in the marriage contract.  Young men usually choose the consent of the parents. Minimum age at marriage is usually 18 years. According to the law  marriage is not restricted to individuals  over the age of 18 years.,Data not available
Legal minimum age at marriage  by sex,Northern Africa,434,Libya,Female,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,According to the Islamic law  marriage requires parental consent. Consent of the bride herself  as well as the guardian's consent are fundamental in the marriage contract.  Young men usually choose the consent of the parents. Minimum age at marriage is usually 18 years. According to the law  marriage is not restricted to individuals  over the age of 18 years.,0
Legal minimum age at marriage  by sex,Northern Africa,434,Libya,Male,Minimum age for legal marriage - Without parental consent,No fixed data,0,According to the Islamic law  marriage requires parental consent. Consent of the bride herself  as well as the guardian's consent are fundamental in the marriage contract.  Young men usually choose the consent of the parents. Minimum age at marriage is usually 18 years. According to the law  marriage is not restricted to individuals  over the age of 18 years.,Data not available
Legal minimum age at marriage  by sex,Northern Africa,434,Libya,Male,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,According to the Islamic law  marriage requires parental consent. Consent of the bride herself  as well as the guardian's consent are fundamental in the marriage contract.  Young men usually choose the consent of the parents. Minimum age at marriage is usually 18 years. According to the law  marriage is not restricted to individuals  over the age of 18 years.,0
Legal minimum age at marriage  by sex,Northern Africa,504,Morocco,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Northern Africa,504,Morocco,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Northern Africa,504,Morocco,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Northern Africa,504,Morocco,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Northern Africa,788,Tunisia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Northern Africa,788,Tunisia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,0
Legal minimum age at marriage  by sex,Northern Africa,788,Tunisia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Northern Africa,788,Tunisia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,0
Legal minimum age at marriage  by sex,Northern Africa,818,Egypt,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Northern Africa,818,Egypt,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Northern Africa,818,Egypt,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Northern Africa,818,Egypt,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,90,Solomon Islands,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,90,Solomon Islands,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Oceania,90,Solomon Islands,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,90,Solomon Islands,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Oceania,184,Cook Islands,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,184,Cook Islands,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,184,Cook Islands,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,184,Cook Islands,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,242,Fiji,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,242,Fiji,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,242,Fiji,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,242,Fiji,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,296,Kiribati,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,296,Kiribati,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,296,Kiribati,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,296,Kiribati,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,520,Nauru,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,520,Nauru,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<16,0,0
Legal minimum age at marriage  by sex,Oceania,520,Nauru,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,520,Nauru,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,0
Legal minimum age at marriage  by sex,Oceania,540,New Caledonia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,540,New Caledonia,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,540,New Caledonia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,540,New Caledonia,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,548,Vanuatu,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,548,Vanuatu,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<16,0,0
Legal minimum age at marriage  by sex,Oceania,548,Vanuatu,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,548,Vanuatu,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,0
Legal minimum age at marriage  by sex,Oceania,570,Niue,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,19,0,0
Legal minimum age at marriage  by sex,Oceania,570,Niue,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Oceania,570,Niue,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,570,Niue,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,583,Micronesia (Federated States of),Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,583,Micronesia (Federated States of),Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<16,0,0
Legal minimum age at marriage  by sex,Oceania,583,Micronesia (Federated States of),Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,583,Micronesia (Federated States of),Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,584,Marshall Islands,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,584,Marshall Islands,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,584,Marshall Islands,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,584,Marshall Islands,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,585,Palau,Female,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,There is no legislation specifying the minimum age at marriage for men and women.
Legal minimum age at marriage  by sex,Oceania,585,Palau,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,585,Palau,Male,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,585,Palau,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,598,Papua New Guinea,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,Under statutory marriage  the parties must be over 21 years old. (persons under 21 years of age may marry with parental consent unless a court has dispensed with this requirement)
Legal minimum age at marriage  by sex,Oceania,598,Papua New Guinea,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,14,0,Requires authorization of civil court. Under customary law  the emphasis is on physical maturity rather than on the chronological age  a girl of 14 years of age who has the attributes of a physically 'fit' person may enter into a valid customary marriage.
Legal minimum age at marriage  by sex,Oceania,598,Papua New Guinea,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,598,Papua New Guinea,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,Requires authorization of civil court.
Legal minimum age at marriage  by sex,Oceania,776,Tonga,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,776,Tonga,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,776,Tonga,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Oceania,776,Tonga,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,0,0,Data not available
Legal minimum age at marriage  by sex,Oceania,798,Tuvalu,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,798,Tuvalu,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,798,Tuvalu,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,798,Tuvalu,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,882,Samoa,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,19,0,0
Legal minimum age at marriage  by sex,Oceania,882,Samoa,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Oceania,882,Samoa,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Oceania,882,Samoa,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,24,Angola,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,24,Angola,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,Under exceptional circumstances.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,24,Angola,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,24,Angola,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,Under exceptional circumstances.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,72,Botswana,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,72,Botswana,Female,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,72,Botswana,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,72,Botswana,Male,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,0,0
