"REGION","Région","LOCATION","Pays","INC","Revenu","VAR","Variable","TIME","Année","Value","Flag Codes","Flags"
"ALL","Toutes les régions","KEN","Kenya","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.09,,
"ASI","Asie","KGZ","Kirghizistan","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","KGZ","Kirghizistan","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ASI","Asie","LAO","République démocratique populaire lao","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","LAO","République démocratique populaire lao","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AFR","Afrique","LSO","Lesotho","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"ALL","Toutes les régions","LSO","Lesotho","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"EUR","Europe","MDA","Moldova","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.42,,
"ALL","Toutes les régions","MDA","Moldova","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.42,,
"ASI","Asie","MNG","Mongolie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","MNG","Mongolie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"AFR","Afrique","MAR","Maroc","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","MAR","Maroc","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ASI","Asie","MMR","Myanmar","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ALL","Toutes les régions","MMR","Myanmar","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"AME","Amériques","NIC","Nicaragua","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","NIC","Nicaragua","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"AFR","Afrique","NGA","Nigéria","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"ALL","Toutes les régions","NGA","Nigéria","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"ASI","Asie","PSE","Autorité palestinienne ou Cisjordanie et bande de Gaza","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.16,,
"ALL","Toutes les régions","PSE","Autorité palestinienne ou Cisjordanie et bande de Gaza","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.16,,
"ASI","Asie","PAK","Pakistan","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.03,,
"ALL","Toutes les régions","PAK","Pakistan","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.03,,
"ASI","Asie","PNG","Papouasie-Nouvelle-Guinée","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.18,,
"ALL","Toutes les régions","PNG","Papouasie-Nouvelle-Guinée","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.18,,
"ASI","Asie","PHL","Philippines","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.51,,
"ALL","Toutes les régions","PHL","Philippines","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.51,,
"AFR","Afrique","STP","Sao Tomé-et-Principe","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ALL","Toutes les régions","STP","Sao Tomé-et-Principe","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ASI","Asie","LKA","Sri Lanka","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","LKA","Sri Lanka","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ASI","Asie","TLS","Timor-Leste","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","TLS","Timor-Leste","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"AFR","Afrique","TUN","Tunisie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ALL","Toutes les régions","TUN","Tunisie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"EUR","Europe","UKR","Ukraine","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","UKR","Ukraine","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ASI","Asie","VNM","Viet Nam","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","VNM","Viet Nam","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"AFR","Afrique","ZMB","Zambie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ALL","Toutes les régions","ZMB","Zambie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"EUR","Europe","XKO","Kosovo","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ALL","Toutes les régions","XKO","Kosovo","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ASI","Asie","AFG","Afghanistan","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.07,,
"ALL","Toutes les régions","AFG","Afghanistan","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.07,,
"AFR","Afrique","BEN","Bénin","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"ALL","Toutes les régions","BEN","Bénin","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"AFR","Afrique","BFA","Burkina Faso","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","BFA","Burkina Faso","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"AFR","Afrique","BDI","Burundi","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","BDI","Burundi","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"AFR","Afrique","CAF","République centrafricaine","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ALL","Toutes les régions","CAF","République centrafricaine","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"AFR","Afrique","TCD","Tchad","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.12,,
"ALL","Toutes les régions","TCD","Tchad","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.12,,
"AFR","Afrique","COD","République démocratique du Congo","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"ALL","Toutes les régions","COD","République démocratique du Congo","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"AFR","Afrique","ETH","Éthiopie","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.26,,
"ALL","Toutes les régions","ETH","Éthiopie","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.26,,
"AFR","Afrique","GMB","Gambie","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","GMB","Gambie","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"AFR","Afrique","GIN","Guinée","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ALL","Toutes les régions","GIN","Guinée","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"AME","Amériques","HTI","Haïti","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.18,,
"ALL","Toutes les régions","HTI","Haïti","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.18,,
"AFR","Afrique","LBR","Libéria","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"ALL","Toutes les régions","LBR","Libéria","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"AFR","Afrique","MDG","Madagascar","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","MDG","Madagascar","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AFR","Afrique","MWI","Malawi","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.16,,
"ALL","Toutes les régions","MWI","Malawi","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.16,,
"AFR","Afrique","MLI","Mali","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.18,,
"ALL","Toutes les régions","MLI","Mali","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.18,,
"AFR","Afrique","MOZ","Mozambique","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ALL","Toutes les régions","MOZ","Mozambique","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ASI","Asie","NPL","Népal","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"ALL","Toutes les régions","NPL","Népal","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"AFR","Afrique","RWA","Rwanda","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ALL","Toutes les régions","RWA","Rwanda","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"AFR","Afrique","SEN","Sénégal","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.23,,
"ALL","Toutes les régions","SEN","Sénégal","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.23,,
"AFR","Afrique","SLE","Sierra Leone","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ALL","Toutes les régions","SLE","Sierra Leone","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ASI","Asie","SYR","République arabe syrienne","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.09,,
"ALL","Toutes les régions","SYR","République arabe syrienne","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.09,,
"ASI","Asie","TJK","Tadjikistan","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ALL","Toutes les régions","TJK","Tadjikistan","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"AFR","Afrique","TZA","Tanzanie","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.23,,
"ALL","Toutes les régions","TZA","Tanzanie","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.23,,
"AFR","Afrique","TGO","Togo","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"ALL","Toutes les régions","TGO","Togo","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"AFR","Afrique","UGA","Ouganda","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","UGA","Ouganda","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ASI","Asie","YEM","Yémen","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.02,,
"ALL","Toutes les régions","YEM","Yémen","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.02,,
"AFR","Afrique","ZWE","Zimbabwe","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.21,,
"ALL","Toutes les régions","ZWE","Zimbabwe","LOI","Faible","RAPFR_WR_PRACT","Pratique","2019","2019",0.21,,
"ASI","Asie","AUS","Australie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","AUS","Australie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"EUR","Europe","AUT","Autriche","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","AUT","Autriche","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"EUR","Europe","BEL","Belgique","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","BEL","Belgique","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"AME","Amériques","CAN","Canada","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","CAN","Canada","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"EUR","Europe","CZE","République tchèque","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","CZE","République tchèque","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"EUR","Europe","DNK","Danemark","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","DNK","Danemark","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"EUR","Europe","FIN","Finlande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","FIN","Finlande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"EUR","Europe","FRA","France","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","FRA","France","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"EUR","Europe","DEU","Allemagne","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","DEU","Allemagne","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"EUR","Europe","GRC","Grèce","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"ALL","Toutes les régions","GRC","Grèce","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"EUR","Europe","HUN","Hongrie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","HUN","Hongrie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"EUR","Europe","ISL","Islande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","ISL","Islande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"EUR","Europe","IRL","Irlande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"ALL","Toutes les régions","IRL","Irlande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"EUR","Europe","ITA","Italie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"ALL","Toutes les régions","ITA","Italie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"ASI","Asie","JPN","Japon","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.13,,
"ALL","Toutes les régions","JPN","Japon","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.13,,
"ASI","Asie","KOR","Corée","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ALL","Toutes les régions","KOR","Corée","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"EUR","Europe","LUX","Luxembourg","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"ALL","Toutes les régions","LUX","Luxembourg","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"AME","Amériques","MEX","Mexique","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","MEX","Mexique","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"EUR","Europe","NLD","Pays-Bas","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","NLD","Pays-Bas","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ASI","Asie","NZL","Nouvelle-Zélande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"ALL","Toutes les régions","NZL","Nouvelle-Zélande","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"EUR","Europe","NOR","Norvège","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ALL","Toutes les régions","NOR","Norvège","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"EUR","Europe","POL","Pologne","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","POL","Pologne","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"EUR","Europe","PRT","Portugal","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","PRT","Portugal","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"EUR","Europe","SVK","République slovaque","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","SVK","République slovaque","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"EUR","Europe","ESP","Espagne","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","ESP","Espagne","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"EUR","Europe","SWE","Suède","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","SWE","Suède","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"EUR","Europe","CHE","Suisse","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","CHE","Suisse","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ASI","Asie","TUR","Turquie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ALL","Toutes les régions","TUR","Turquie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"EUR","Europe","GBR","Royaume-Uni","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"ALL","Toutes les régions","GBR","Royaume-Uni","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.36,,
"AME","Amériques","USA","États-Unis","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","USA","États-Unis","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ASI","Asie","AFG","Afghanistan","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.07,,
"ALL","Toutes les régions","AFG","Afghanistan","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.07,,
"EUR","Europe","ALB","Albanie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","ALB","Albanie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AFR","Afrique","DZA","Algérie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ALL","Toutes les régions","DZA","Algérie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"AFR","Afrique","AGO","Angola","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","AGO","Angola","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AME","Amériques","ARG","Argentine","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","ARG","Argentine","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ASI","Asie","ARM","Arménie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","ARM","Arménie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ASI","Asie","AZE","Azerbaïdjan","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","AZE","Azerbaïdjan","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"AME","Amériques","BHS","Bahamas","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.52,,
"ALL","Toutes les régions","BHS","Bahamas","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.52,,
"ASI","Asie","BGD","Bangladesh","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.11,,
"ALL","Toutes les régions","BGD","Bangladesh","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.11,,
"AME","Amériques","BRB","Barbade","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.49,,
"ALL","Toutes les régions","BRB","Barbade","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.49,,
"EUR","Europe","BLR","Bélarus","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.46,,
"ALL","Toutes les régions","BLR","Bélarus","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.46,,
"AME","Amériques","BLZ","Belize","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","BLZ","Belize","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"AFR","Afrique","BEN","Bénin","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"ALL","Toutes les régions","BEN","Bénin","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"ASI","Asie","BTN","Bhoutan","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"ALL","Toutes les régions","BTN","Bhoutan","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"AME","Amériques","BOL","Bolivie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","BOL","Bolivie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"EUR","Europe","BIH","Bosnie-Herzégovine","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"ALL","Toutes les régions","BIH","Bosnie-Herzégovine","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"AFR","Afrique","BWA","Botswana","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","BWA","Botswana","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"AME","Amériques","BRA","Brésil","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"ALL","Toutes les régions","BRA","Brésil","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"ASI","Asie","BRN","Brunéi Darussalam","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","BRN","Brunéi Darussalam","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"EUR","Europe","BGR","Bulgarie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","BGR","Bulgarie","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"AFR","Afrique","BFA","Burkina Faso","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","BFA","Burkina Faso","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"AFR","Afrique","BDI","Burundi","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","BDI","Burundi","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ASI","Asie","KHM","Cambodge","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","KHM","Cambodge","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AFR","Afrique","CMR","Cameroun","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ALL","Toutes les régions","CMR","Cameroun","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"AFR","Afrique","CAF","République centrafricaine","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ALL","Toutes les régions","CAF","République centrafricaine","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"AFR","Afrique","TCD","Tchad","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.12,,
"ALL","Toutes les régions","TCD","Tchad","AIC","Tous les groupes de revenu","RAPFR_WR_PRACT","Pratique","2019","2019",0.12,,
