13 - Gender gap in wages  by occupation  age and persons with disabilities

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Male,-,-,Technicians and associate professionals (isco-08),21.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Male,-,-,Clerical support workers (isco-08),17.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Male,-,-,Service and sales workers (isco-08),15,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Male,-,-,Craft and related trades workers (isco-08),16,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Male,-,-,Plant and machine operators  and assemblers (isco-08),16.8,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Male,-,-,Elementary occupations (isco-08),14.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,All occupations (isco-08),19.9,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Managers (isco-08),38.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Professionals (isco-08),28,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Technicians and associate professionals (isco-08),20.9,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Clerical support workers (isco-08),17.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Service and sales workers (isco-08),15.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Craft and related trades workers (isco-08),16,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Plant and machine operators  and assemblers (isco-08),16.7,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2014,Both sexes,-,-,Elementary occupations (isco-08),14,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,All occupations (isco-08),17.7,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Managers (isco-08),33.7,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Professionals (isco-08),24.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Technicians and associate professionals (isco-08),19.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Clerical support workers (isco-08),16.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Service and sales workers (isco-08),13.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Craft and related trades workers (isco-08),14.1,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Plant and machine operators  and assemblers (isco-08),14.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Female,-,-,Elementary occupations (isco-08),12.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,All occupations (isco-08),19.9,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Managers (isco-08),38.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Professionals (isco-08),26.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Technicians and associate professionals (isco-08),21,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Clerical support workers (isco-08),16.8,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Service and sales workers (isco-08),14.8,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Craft and related trades workers (isco-08),15.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Plant and machine operators  and assemblers (isco-08),16.1,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Male,-,-,Elementary occupations (isco-08),14.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,All occupations (isco-08),19.1,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Managers (isco-08),37.1,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Professionals (isco-08),25.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Technicians and associate professionals (isco-08),20.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Clerical support workers (isco-08),16.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Service and sales workers (isco-08),13.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Craft and related trades workers (isco-08),15.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Plant and machine operators  and assemblers (isco-08),15.8,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2015,Both sexes,-,-,Elementary occupations (isco-08),13.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,All occupations (isco-08),17.7,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Managers (isco-08),33.9,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Professionals (isco-08),24.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Technicians and associate professionals (isco-08),19.3,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Clerical support workers (isco-08),16.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Service and sales workers (isco-08),13.1,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Craft and related trades workers (isco-08),14.1,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Plant and machine operators  and assemblers (isco-08),14.7,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Female,-,-,Elementary occupations (isco-08),12.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,All occupations (isco-08),20,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Managers (isco-08),38.8,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Professionals (isco-08),26.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Technicians and associate professionals (isco-08),21.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Clerical support workers (isco-08),16.9,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Service and sales workers (isco-08),14.9,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Craft and related trades workers (isco-08),15.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Plant and machine operators  and assemblers (isco-08),16.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Male,-,-,Elementary occupations (isco-08),14.7,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,All occupations (isco-08),19.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Managers (isco-08),37.2,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Professionals (isco-08),25.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Technicians and associate professionals (isco-08),20.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Clerical support workers (isco-08),16.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Service and sales workers (isco-08),13.6,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Craft and related trades workers (isco-08),15.4,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Plant and machine operators  and assemblers (isco-08),16,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,56,Belgium,2016,Both sexes,-,-,Elementary occupations (isco-08),13.5,-,-,Current local currency,Country data,-,Local currency: BEL - Euro(EUR),Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,100,Bulgaria,2014,Female,-,-,All occupations (isco-08),4.2,-,-,Current local currency,Country data,-,Local currency: BGR - Lev(BGN),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,100,Bulgaria,2014,Female,-,-,Managers (isco-08),10.1,-,-,Current local currency,Country data,-,Local currency: BGR - Lev(BGN),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,100,Bulgaria,2014,Female,-,-,Professionals (isco-08),5.8,-,-,Current local currency,Country data,-,Local currency: BGR - Lev(BGN),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,100,Bulgaria,2014,Female,-,-,Technicians and associate professionals (isco-08),5.4,-,-,Current local currency,Country data,-,Local currency: BGR - Lev(BGN),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,100,Bulgaria,2014,Female,-,-,Clerical support workers (isco-08),3.8,-,-,Current local currency,Country data,-,Local currency: BGR - Lev(BGN),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,100,Bulgaria,2014,Female,-,-,Service and sales workers (isco-08),2.9,-,-,Current local currency,Country data,-,Local currency: BGR - Lev(BGN),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
